Quest_1,Quest_2a,Quest_2b,Quest_2c,Quest_2d,Quest_3a,Quest_3b,Quest_4,Quest_5,Nota
1,1,0,1,0,1,0,1,0,7.50
0,1,1,0,0,1,1,0,0,4
1,1,1,1,1,1,1,0,0,8
1,1,1,1,1,1,1,0,1,10
0,0,1,0,0,1,0,0,0,3.75
0,1,0,0,0,0,0,0,0,2.5
1,1,1,1,1,1,1,0,1,10
1,1,1,1,0,1,0,0,0,6.50
0,0,1,1,0,0,0,0,0,1.5
1,1,1,1,0,0,0,1,0,7.75
1,1,1,0,0,1,1,1,0,8.25
1,1,1,1,1,1,1,1,0,10
0,1,1,0,1,0,0,0,0,3.50
0,1,1,1,1,1,1,0,0,7
1,1,1,1,1,1,1,0,0,8.50
1,1,1,1,1,1,1,0,1,10
0,1,1,1,1,0,0,0,0,2.50
0,1,1,1,0,0,0,0,1,5
1,1,1,1,0,0,0,0,0,5
0,1,1,1,1,1,1,0,1,7.25
0,1,1,1,0,1,0,1,0,6
1,1,1,1,1,1,1,1,0,10
1,1,1,1,1,1,1,0,1,9.50
1,1,1,1,1,1,1,0,1,9.75
1,1,1,1,1,1,1,1,0,9.75
0,1,1,0,0,1,1,0,0,5.50
1,1,1,1,1,1,1,0,1,10
1,1,1,1,1,1,1,1,0,10
0,1,1,0,0,1,0,1,0,4.75
1,1,0,0,0,0,1,1,0,5.30
0,1,1,1,0,1,1,1,0,6.50
0,1,1,1,0,1,0,0,1,4.75
